Column1,Column2,Column3
@noahmcgill,@SethMacFarlane,RT
@joestornaiuolo,@TEN_GOP,RT
@XposeBlackCrime,@XposeBlackCrime,Reply
@_ant0ni0,@GeorgeTakei,RT
@AshtxnLou,@StephenAtHome,RT
@KHorne97,@billyeichner,RT
@KHorne97,@GOP,Mention
@twh,@SethMacFarlane,RT
@alejot127,@alejot127,Tweet
@ekdeplorable,@ChristiChat,RT
@ekdeplorable,@VP,Mention
@lpotr4,@SethMacFarlane,RT
@debrasz,@InternetMayor,RT
@debrasz,@SenateMajLdr,Mention
@ChainsawJunior,@AltNatParkSer,RT
@sean_omalley97,@brianklaas,RT
@SuzanneKayiee,@jalloyd4,RT
@CheyneBopp,@politico,RT
@CheyneBopp,@BetsyDeVos,Mention
@ldhancock1,@ScottPresler,RT
@cmcrabtree1,@brianklaas,RT
@gperky1,@sean_spicier,RT
@tconner1776,@USATODAY,RT
@Faze_EditsHQ,@SethMacFarlane,RT
@Justsimpleme95,@StephenAtHome,RT
@RepublicanRI,@RealKyleMorris,RT
@RepublicanRI,@VP,Mention
@bri1989bri,@jobeckerhrw,RT
@willowhall49,@TEN_GOP,RT
@Sip7,@SenToomey,Reply
@Sip7,@SenWarren,Mention
@Sip7,@PennBrewery,Mention
@Sip7,@steelers,Mention
@TheChastaMarie,@shellie_naquin,RT
@UtePilgrim,@Impeach_D_Trump,RT
@SenorBoomNYC,@StephenAtHome,RT
@micipher,@Green_Footballs,RT
@micipher,@DrJillStein,Mention
@sleepylemur,@campcreek,RT
@judiewood3,@AmyMek,RT
@SimplyCindy85,@SenSanders,RT
@brendapresko,@DropThe_Mic,Reply
@SteveHult,@yashar,RT
@growoutside,@GeorgeTakei,RT
@jermum,@jonfavs,RT
@jermum,@JeffFlake,Mention
@jermum,@DeanH,Mention
@e_m_e_t_i_b,@keithlaw,RT
@e_m_e_t_i_b,@SenToomey,Mention
@bl4kebooth,@OnionPolitics,RT
@annie1509,@taylordbaird,RT
@AmandaAnnKlein,@CharlesMBlow,RT
@sahomuth,@Impeach_D_Trump,RT
@carmic14,@Phil_Lewis_,RT
@CindyBP,@CindyBP,Tweet
@FACSOT,@StephenAtHome,RT
@wendellbsmith02,@KaivanShroff,RT
@adorablyalice,@northlightwitch,Reply
@uknewse,@uknewse,Tweet
@brettrospect,@brettrospect,Tweet
@kak089,@TxYankee33,RT
@Gnosty,@RubyCodpiece,RT
@WilliamsDebbieD,@Alt_CDC,RT
@FURDOG54,@ms_erika74,RT
@Nancy_Dongg,@ItsDanSheehan,RT
@marygkosta,@marygkosta,Tweet
@sherrys2020,@carrieksada,RT
@moozeekfan,@dbrauer,Reply
@WhosFibbing,@AmyMek,RT
@figsx,@oxminaox,RT
@_ginana,@molly_knight,RT
@EdMcA262,@GeorgeTakei,RT
@PegFrigo,@SethMacFarlane,RT
@tscimone88,@ALT_DOJ,RT
@Alexa_Levin,@ItsDanSheehan,RT
@webcommenter,@Green_Footballs,RT
@loosepinz,@GeorgeTakei,RT
@sammygirl6910,@sjredmond,RT
@Goddyleader,@TEN_GOP,RT
@RichardGMedlock,@RichardGMedlock,Tweet
@claudiadockery,@Resistance_Feed,RT
@WaaDooWho,@DavidYankovich,Reply
@webbhayes,@nwlc,RT
@TheMiddleRoach,@SethMacFarlane,RT
@Flomp_It,@sunnydaejones,RT
@mdculham,@mdculham,Tweet
@buenhombredavid,@Richard_Schiff,RT
@EttaDevine,@thinkprogress,RT
@waynegoo_,@attn,RT
@jkiddy66,@ALT_DOJ,RT
@jkiddy66,@AltNatParkSer,Mention
@patlks5757,@StephenAtHome,RT
@Quintil,@wilw,RT
@senz_kelly,@CREDOMobile,RT
@senz_kelly,@SenateGOP,Mention
@JoshyNeurotic,@JordanUhl,RT
@Nov062018,@yashar,RT
@now_justice,@RogueNASA,RT
@now_justice,@gizmodo,Mention
@KJcupcake7,@womensmarch,RT
@KJcupcake7,@ColeWhitaker,Mention
@acpotsch,@esheikh_,RT
@littlesassilie,@abdurrahmvn,Reply
@Newsmann,@Newsmann,Tweet
@pololinzo,@RealTimBlack,RT
@ComposerBrad,@wilw,RT
@adamtiller,@KevinFarzad,RT
@Kekegirlp,@SethMacFarlane,RT
@kpanyc,@PalmerReport,RT
@justdawn_,@justdawn_,Tweet
@CherylLeutjen,@JoyAnnReid,RT
@JDBranwen,@Impeach_D_Trump,RT
@jake_martinez,@_RickyMinaj,RT
@ItsJustChanta,@jyoungwhite,RT
@Una_Bear_Dog,@brianklaas,RT
@RHavanese,@mitchellvii,RT
@Trawler_Trash,@SariHorwitz,RT
@rybo62,@_DH44_,Reply
@nick_grasso,@StephenAtHome,RT
@copthatlox,@ramonctaylor,RT
@volantchick,@wilw,RT
@LateNightChrisR,@itzzkait,RT
@gab_beeee,@StartedTweeting,RT
@emilymariehendi,@brianklaas,RT
@dhbillings,@SenatorBurr,Reply
@Doyouhaveaflag,@LibyaLiberty,RT
@Zilla912,@Zilla912,Tweet
@CarlyRaeGypsum,@BrianWithCheese,RT
@FragileLamplite,@jpbrammer,RT
@JKuehmichel,@nytimes,RT
@Llama_Strudel,@Amy_Siskind,RT
@Hogfan319,@Pappiness,RT
@chris_baugh_,@chris_baugh_,Tweet
@AZCat89,@AZCat89,Tweet
@ImBaileh,@SJSchauer,RT
@mary_neecole,@ItsDanSheehan,RT
@Tami_Skye_Mars,@Elizasoul80,RT
@Wannie777,@CharlesMBlow,RT
@RichNj5,@leclemot,Reply
@RobotWizardMan,@MrTommyCampbell,RT
@zmeetsworld,@zmeetsworld,Tweet
@kelliebanc,@bennydiego,RT
@lilMDP,@joss,RT
@BY1959,@CharlesMBlow,RT
@jgianotti10,@rklein90,RT
@jgianotti10,@imillhiser,Mention
@CelleighCaryn,@GeorgeTakei,RT
